freq,fx,gx,gy,hc,hs,l,lalti,lbes,lk,ls,luc,ol,ox,wfx,wiki,wk,wx,wy,real,ima,mag,db
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,2.0,34.0,100.0,100.0,-0.15556100010871887,0.030746713280677795,0.15857044217756674,-15.995555255312437
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,4.0,34.0,100.0,100.0,-0.12820212543010712,0.04814986512064934,0.1369459545803878,-17.269015847881157
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,4.0,34.0,100.0,100.0,-0.12717291712760925,0.04634125158190727,0.13535310284187577,-17.370635679781707
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,4.0,34.0,100.0,100.0,-0.12623681128025055,0.043698348104953766,0.1335862199079954,-17.484766784302106
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,4.0,34.0,100.0,100.0,-0.12537676095962524,0.04007117450237274,0.13162458438576974,-17.61325974241621
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,6.0,34.0,100.0,100.0,-0.09785127639770508,0.05829832702875137,0.11390156814992196,-18.869405933840337
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,6.0,34.0,100.0,100.0,-0.0968850627541542,0.05644765496253967,0.11212962648491401,-19.00559249047684
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,6.0,34.0,100.0,100.0,-0.09608518332242966,0.053763117641210556,0.11010374776821887,-19.163957960736543
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,6.0,34.0,100.0,100.0,-0.09547535330057144,0.050033554434776306,0.10779099988981762,-19.348349989175656
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,8.0,34.0,100.0,100.0,-0.0677104964852333,0.06907355040311813,0.09672572925322866,-20.289159745557104
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,8.0,34.0,100.0,100.0,-0.06687700748443604,0.06713256239891052,0.09475924790919844,-20.467567897394314
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,8.0,34.0,100.0,100.0,-0.06615690886974335,0.06445962935686111,0.0923676372330885,-20.68960331001673
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,8.0,34.0,100.0,100.0,-0.06579960882663727,0.060638438910245895,0.0894796557615758,-20.965513907050326
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,2.0,34.0,102.0,100.0,-0.6689842939376831,0.16060516238212585,0.6879927352226107,-3.248322952423206
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,2.0,34.0,102.0,100.0,-0.6087711453437805,0.3155767321586609,0.6857047333095474,-3.277257053185645
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,2.0,34.0,102.0,100.0,-0.5339900255203247,0.3847104609012604,0.6581394123451787,-3.6336420183258267
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,2.0,34.0,102.0,100.0,-0.4619855582714081,0.41868942975997925,0.6234833555469473,-4.103502718307045
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,4.0,34.0,102.0,100.0,-0.6342319846153259,0.21003161370754242,0.6681043998251242,-3.5031133635046174
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,4.0,34.0,102.0,100.0,-0.5619904398918152,0.3630431890487671,0.6690542665916531,-3.4907731087541345
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,4.0,34.0,102.0,100.0,-0.4818550944328308,0.42783084511756897,0.6443784323399454,-3.817180081148936
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,4.0,34.0,102.0,100.0,-0.40666064620018005,0.45751625299453735,0.6121225391391086,-4.263232578500987
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,6.0,34.0,102.0,100.0,-0.5950465798377991,0.2598736882209778,0.6493186937138312,-3.750841874474768
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,6.0,34.0,102.0,100.0,-0.5108794569969177,0.40953540802001953,0.6547648967404937,-3.6782922406861847
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,6.0,34.0,102.0,100.0,-0.4253266155719757,0.46922847628593445,0.6333072657656242,-3.9677105879830306
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,6.0,34.0,102.0,100.0,-0.3478589355945587,0.4938679039478302,0.6040789233393287,-4.378126335803312
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,8.0,34.0,102.0,100.0,-0.5512563586235046,0.30986568331718445,0.6323767189108653,-3.980482541863559
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,8.0,34.0,102.0,100.0,-0.45533716678619385,0.454645037651062,0.6434547736380651,-3.8296394569224157
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,8.0,34.0,102.0,100.0,-0.36459586024284363,0.5084654688835144,0.6256734566474362,-4.073045379786903
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,8.0,34.0,102.0,100.0,-0.28551802039146423,0.5273593068122864,0.5996902354130804,-4.441460451983521
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,2.0,34.0,104.0,100.0,-0.4894145429134369,-0.1301315426826477,0.50641960192723,-5.909789849542601
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,2.0,34.0,104.0,100.0,-0.6229130029678345,-0.0559379942715168,0.6254195939283687,-4.076570335169379
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,2.0,34.0,104.0,100.0,-0.6782931089401245,0.05048273503780365,0.6801691320344938,-3.347661628932686
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,2.0,34.0,104.0,100.0,-0.6850698590278625,0.14225304126739502,0.6996832422591516,-3.1019705503846633
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,4.0,34.0,104.0,100.0,-0.46583864092826843,-0.09749119728803635,0.47593084889566784,-6.449122883602405
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,4.0,34.0,104.0,100.0,-0.6020678877830505,-0.006966456770896912,0.6021081904603895,-4.4065093011465954
